Date,Cases
2020-01-22T00:00:00Z,0
2020-01-23T00:00:00Z,1
2020-01-24T00:00:00Z,3
2020-01-25T00:00:00Z,3
2020-01-26T00:00:00Z,4
2020-01-27T00:00:00Z,5
2020-01-28T00:00:00Z,7
2020-01-29T00:00:00Z,7
2020-01-30T00:00:00Z,10
2020-01-31T00:00:00Z,13
2020-02-01T00:00:00Z,16
2020-02-02T00:00:00Z,18
2020-02-03T00:00:00Z,18
2020-02-04T00:00:00Z,24
2020-02-05T00:00:00Z,28
2020-02-06T00:00:00Z,28
2020-02-07T00:00:00Z,30
2020-02-08T00:00:00Z,33
2020-02-09T00:00:00Z,40
2020-02-10T00:00:00Z,45
2020-02-11T00:00:00Z,47
2020-02-12T00:00:00Z,50
2020-02-13T00:00:00Z,58
2020-02-14T00:00:00Z,67
2020-02-15T00:00:00Z,72
2020-02-16T00:00:00Z,75
2020-02-17T00:00:00Z,77
2020-02-18T00:00:00Z,81
2020-02-19T00:00:00Z,84
2020-02-20T00:00:00Z,84
2020-02-21T00:00:00Z,85
2020-02-22T00:00:00Z,85
2020-02-23T00:00:00Z,89
2020-02-24T00:00:00Z,89
2020-02-25T00:00:00Z,91
2020-02-26T00:00:00Z,93
2020-02-27T00:00:00Z,93
2020-02-28T00:00:00Z,93
2020-02-29T00:00:00Z,102
2020-03-01T00:00:00Z,106
2020-03-02T00:00:00Z,108
2020-03-03T00:00:00Z,110
2020-03-04T00:00:00Z,110
2020-03-05T00:00:00Z,117
2020-03-06T00:00:00Z,130
2020-03-07T00:00:00Z,138
2020-03-08T00:00:00Z,150
2020-03-09T00:00:00Z,150
2020-03-10T00:00:00Z,160
2020-03-11T00:00:00Z,178
2020-03-12T00:00:00Z,178
2020-03-13T00:00:00Z,200
2020-03-14T00:00:00Z,212
2020-03-15T00:00:00Z,226
2020-03-16T00:00:00Z,243
2020-03-17T00:00:00Z,266
2020-03-18T00:00:00Z,313
2020-03-19T00:00:00Z,345
2020-03-20T00:00:00Z,385
2020-03-21T00:00:00Z,432
2020-03-22T00:00:00Z,455
2020-03-23T00:00:00Z,509
2020-03-24T00:00:00Z,558
2020-03-25T00:00:00Z,631
2020-03-26T00:00:00Z,683
2020-03-27T00:00:00Z,732
2020-03-28T00:00:00Z,802
2020-03-29T00:00:00Z,844
2020-03-30T00:00:00Z,879
2020-03-31T00:00:00Z,926
2020-04-01T00:00:00Z,1000
2020-04-02T00:00:00Z,1049
2020-04-03T00:00:00Z,1114
2020-04-04T00:00:00Z,1189
2020-04-05T00:00:00Z,1309
2020-04-06T00:00:00Z,1375
2020-04-07T00:00:00Z,1481
2020-04-08T00:00:00Z,1623
2020-04-09T00:00:00Z,1910
2020-04-10T00:00:00Z,2108
2020-04-11T00:00:00Z,2299
2020-04-12T00:00:00Z,2532
2020-04-13T00:00:00Z,2918
2020-04-14T00:00:00Z,3252
2020-04-15T00:00:00Z,3699
2020-04-16T00:00:00Z,4427
2020-04-17T00:00:00Z,5050
2020-04-18T00:00:00Z,5992
2020-04-19T00:00:00Z,6588
2020-04-20T00:00:00Z,8014
2020-04-21T00:00:00Z,9125
2020-04-22T00:00:00Z,10141
2020-04-23T00:00:00Z,11178
2020-04-24T00:00:00Z,12075
2020-04-25T00:00:00Z,12693
2020-04-26T00:00:00Z,13624
2020-04-27T00:00:00Z,14423
2020-04-28T00:00:00Z,14951
2020-04-29T00:00:00Z,15641
2020-04-30T00:00:00Z,16169
2020-05-01T00:00:00Z,17101
2020-05-02T00:00:00Z,17548
2020-05-03T00:00:00Z,18205
2020-05-04T00:00:00Z,18778
2020-05-05T00:00:00Z,19410
2020-05-06T00:00:00Z,20198
2020-05-07T00:00:00Z,20939
2020-05-08T00:00:00Z,21707
2020-05-09T00:00:00Z,22460
2020-05-10T00:00:00Z,23336
2020-05-11T00:00:00Z,23822
2020-05-12T00:00:00Z,24671
2020-05-13T00:00:00Z,25346
2020-05-14T00:00:00Z,26098
2020-05-15T00:00:00Z,26891
2020-05-16T00:00:00Z,27356
2020-05-17T00:00:00Z,28038
2020-05-18T00:00:00Z,28343
2020-05-19T00:00:00Z,28794
2020-05-20T00:00:00Z,29364
2020-05-21T00:00:00Z,29812
2020-05-22T00:00:00Z,30426
2020-05-23T00:00:00Z,31068
2020-05-24T00:00:00Z,31616
2020-05-25T00:00:00Z,31960
2020-05-26T00:00:00Z,32343
2020-05-27T00:00:00Z,32876
2020-05-28T00:00:00Z,33249
2020-05-29T00:00:00Z,33860
2020-05-30T00:00:00Z,34366
2020-05-31T00:00:00Z,34884
2020-06-01T00:00:00Z,35292
2020-06-02T00:00:00Z,35836
2020-06-03T00:00:00Z,36405
2020-06-04T00:00:00Z,36922
2020-06-05T00:00:00Z,37183
2020-06-06T00:00:00Z,37527
2020-06-07T00:00:00Z,37910
2020-06-08T00:00:00Z,38296
2020-06-09T00:00:00Z,38514
2020-06-10T00:00:00Z,38965
2020-06-11T00:00:00Z,39387
2020-06-12T00:00:00Z,39850
2020-06-13T00:00:00Z,40197
2020-06-14T00:00:00Z,40604
2020-06-15T00:00:00Z,40818
2020-06-16T00:00:00Z,40969
2020-06-17T00:00:00Z,41216
2020-06-18T00:00:00Z,41473
2020-06-19T00:00:00Z,41615
2020-06-20T00:00:00Z,41833
2020-06-21T00:00:00Z,42095
2020-06-22T00:00:00Z,42313
2020-06-23T00:00:00Z,42432
2020-06-24T00:00:00Z,42623
2020-06-25T00:00:00Z,42736
2020-06-26T00:00:00Z,42955
2020-06-27T00:00:00Z,43246
2020-06-28T00:00:00Z,43459
2020-06-29T00:00:00Z,43661
2020-06-30T00:00:00Z,43907
2020-07-01T00:00:00Z,44122
2020-07-02T00:00:00Z,44310
2020-07-03T00:00:00Z,44479
2020-07-04T00:00:00Z,44664
2020-07-05T00:00:00Z,44800
2020-07-06T00:00:00Z,44983
2020-07-07T00:00:00Z,45140
2020-07-08T00:00:00Z,45298
2020-07-09T00:00:00Z,45423
2020-07-10T00:00:00Z,45614
2020-07-11T00:00:00Z,45783
2020-07-12T00:00:00Z,45961
2020-07-13T00:00:00Z,46283
2020-07-14T00:00:00Z,46630
2020-07-15T00:00:00Z,46878
2020-07-16T00:00:00Z,47126
2020-07-17T00:00:00Z,47453
2020-07-18T00:00:00Z,47655
2020-07-19T00:00:00Z,47912
2020-07-20T00:00:00Z,48035
2020-07-21T00:00:00Z,48434
2020-07-22T00:00:00Z,48744
2020-07-23T00:00:00Z,49098
2020-07-24T00:00:00Z,49375
2020-07-25T00:00:00Z,49888
2020-07-26T00:00:00Z,50369
2020-07-27T00:00:00Z,50838
2020-07-28T00:00:00Z,51197
2020-07-29T00:00:00Z,51531
2020-07-30T00:00:00Z,51809
2020-07-31T00:00:00Z,52205
2020-08-01T00:00:00Z,52512
2020-08-02T00:00:00Z,52825
2020-08-03T00:00:00Z,53051
